,business_operator,detail_url,street_number,street,total_outstanding,total_units,geo_local_area,lat,long,zoning_classification,current_land_value,year_built
115,0707892 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT%20STREET,320,ABBOTT ST,1,60,Downtown,49.28261413,-123.10664756,Historical Area,10272000.0,1911
214,Central City Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT%20STREET,404,ABBOTT ST,4,71,Downtown,49.2816849,-123.10713559,Historical Area,388000.0,1911
425,0730235 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1683&street=ADANAC%20STREET,1683,ADANAC ST,7,21,Grandview-Woodland,49.27782724,-123.07088549,Residential,4733000.0,1994
872,Lily Jang,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC%20STREET,1785,ADANAC ST,1,5,Grandview-Woodland,49.27780288,-123.06878722,Residential,1945000.0,1952
1547,Entre Nous Femmes Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1656&street=ADANAC%20STREET,1656,ADANAC ST,4,46,Grandview-Woodland,49.27733406,-123.07200187,Residential,6118000.0,
2157,City of Vancouver,http://app.vancouver.ca/RPS_Net/Default.aspx?num=58&street=ALEXANDER%20STREET,58,ALEXANDER ST,3,30,Downtown,49.28344261,-123.1027163,Historical Area,3314000.0,1912
2501,1078022 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=ALEXANDER%20STREET,610,ALEXANDER ST,6,46,Strathcona,49.28367106,-123.0910891,Historical Area,532000.0,1997
2732,THE VETERANS MEMORIAL HOUSING SOCIETY,http://app.vancouver.ca/RPS_Net/Default.aspx?num=310&street=ALEXANDER%20STREET,310,ALEXANDER ST,7,133,Strathcona,49.28378914,-123.0973628,Historical Area,820000.0,1997
3063,Lookout Housing and Health Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=510&street=ALEXANDER%20STREET,510,ALEXANDER ST,4,37,Strathcona,49.2837058,-123.09262135,Historical Area,531000.0,1997
3264,Siddoo Kashmir Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1725&street=ARBUTUS%20STREET,1725,ARBUTUS ST,1,11,Kitsilano,49.27041955,-123.15305216,Residential,3730000.0,1967
3697,Dorset Place Apartment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5614&street=BALSAM%20STREET,5614,BALSAM ST,2,40,Arbutus Ridge,49.23570078,-123.16091718,Residential,12639000.0,1965
4275,Balsam Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5455&street=BALSAM%20STREET,5455,BALSAM ST,1,87,Arbutus Ridge,49.23776103,-123.16164309,Residential,26691000.0,1966
4453,0811933 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1133&street=BARCLAY%20STREET,1133,BARCLAY ST,2,31,West End,49.28426646,-123.12805488,Residential,4928000.0,1956
5127,Rosellen Suites Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2030&street=BARCLAY%20STREET,2030,BARCLAY ST,6,32,West End,49.29212794,-123.14145298,Residential,14986000.0,1988
5747,1081976 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1531&street=BARCLAY%20STREET,1531,BARCLAY ST,1,21,West End,49.28782857,-123.1335502,Residential,4928000.0,1962
6199,EMV Holdings Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1601&street=BARCLAY%20STREET,1601,BARCLAY ST,2,47,West End,49.28834171,-123.13434726,Residential,6570000.0,1965
6856,Hampton Royale Apts Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=BARCLAY%20STREET,1650,BARCLAY ST,1,29,West End,49.28833902,-123.13550095,Residential,4928000.0,1956
7745,1770 Barclay Street Holding Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1770&street=BARCLAY%20STREET,1770,BARCLAY ST,3,84,West End,49.28961087,-123.13747968,Residential,14456000.0,1970
8340,Tang Realty Development Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1865&street=BARCLAY%20STREET,1865,BARCLAY ST,1,40,West End,49.29088725,-123.13827675,Residential,4928000.0,1968
8974,1368874 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1901&street=BARCLAY%20STREET,1901,BARCLAY ST,3,30,West End,49.29139589,-123.1390663,Residential,6570000.0,1954
9511,Razgul Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2010&street=BARCLAY%20STREET,2010,BARCLAY ST,3,39,West End,49.29193546,-123.14105362,Residential,15592000.0,1952
9831,Darfo Investments Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1231&street=BARCLAY%20STREET,1231,BARCLAY ST,1,21,West End,49.28515228,-123.129431,Residential,4928000.0,1962
10241,Bonniehon Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1395&street=BEACH%20AVENUE,1395,BEACH AVE,2,91,West End,49.28163305,-123.13902871,Residential,20238000.0,1961
10452,Fan-Frazer Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=851&street=BIDWELL%20STREET,851,BIDWELL ST,1,24,West End,49.29006101,-123.13484894,Residential,8104000.0,1930
10592,Feliz Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1255&street=BIDWELL%20STREET,1255,BIDWELL ST,5,266,West End,49.28609826,-123.14162228,Residential,43369500.0,1963
10689,Reliance Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=BIDWELL%20STREET,1188,BIDWELL ST,2,108,West End,49.28628006,-123.13971039,Commercial,22565000.0,2020
10929,TKT Holdings (Canada) Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2148&street=BLENHEIM%20STREET,2148,BLENHEIM ST,1,5,Kitsilano,49.2669157,-123.17741425,Residential,2682000.0,1912
11189,Norman Estates Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2210&street=BLENHEIM%20STREET,2210,BLENHEIM ST,5,8,Kitsilano,49.26651978,-123.17749312,Residential,4209000.0,1912
11530,GMH 1203 Broughton Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1203&street=BROUGHTON%20STREET,1203,BROUGHTON ST,2,40,West End,49.28361279,-123.13679531,Residential,9402000.0,1968
11640,GMH 1203 Broughton Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1203&street=BROUGHTON%20STREET,1203,BROUGHTON ST,2,40,West End,49.28361279,-123.13679531,Residential,1189000.0,2021
11831,S A H Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1091&street=BROUGHTON%20STREET,1091,BROUGHTON ST,1,40,West End,49.28501806,-123.13466392,Residential,4928000.0,1912
11956,1112 Broughton Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1112&street=BROUGHTON%20STREET,1112,BROUGHTON ST,3,22,West End,49.28444854,-123.1347758,Residential,6122000.0,1953
12270,Paul Y Mansion (Paul Mansion),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=BURNABY%20STREET,1150,BURNABY ST,3,176,West End,49.28049467,-123.13413389,Residential,28912000.0,1970
12487,Forth Gen Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=BURNABY%20STREET,1650,BURNABY ST,1,95,West End,49.28481878,-123.14081021,Residential,14456000.0,1966
12720,Concord International Lands Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1065&street=BURNABY%20STREET,1065,BURNABY ST,1,15,West End,49.27960459,-123.13159282,Residential,8023000.0,1956
12864,Vanca Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1365&street=BURNABY%20STREET,1365,BURNABY ST,3,8,West End,49.28289917,-123.13667519,Residential,3733000.0,1952
12981,IMH 1433 Burnaby Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1433&street=BURNABY%20STREET,1433,BURNABY ST,2,30,West End,49.28354384,-123.13768742,Residential,4928000.0,1969
13074,Belmont Bute 990 Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=990&street=BUTE%20STREET,990,BUTE ST,1,36,West End,49.28394886,-123.12970105,Residential,6570000.0,1924
13333,Huntly Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE%20STREET,601,BUTE ST,4,23,Downtown,49.28778196,-123.12466408,Residential,381000.0,1998
13335,Huntly Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE%20STREET,601,BUTE ST,4,23,Downtown,49.28778196,-123.12466408,Residential,617000.0,1981
13342,Huntly Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE%20STREET,601,BUTE ST,4,23,Downtown,49.28778196,-123.12466408,Residential,719000.0,1994
13428,1446343 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=925&street=BUTE%20STREET,925,BUTE ST,5,23,West End,49.28451524,-123.12959281,Residential,6570000.0,1927
13674,Daysgoneby.org Land Stewards Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1310&street=BUTE%20STREET,1310,BUTE ST,1,20,West End,49.28074876,-123.13453924,Residential,6570000.0,1950
13713,1299362 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8427&street=CAMBIE%20STREET,8427,CAMBIE ST,1,15,Marpole,49.20907327,-123.11780355,Residential,13005000.0,
14087,Danny's Inn Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=317&street=CAMBIE%20STREET,317,CAMBIE ST,2,18,Downtown,49.28323298,-123.109504,Historical Area,4440000.0,1901
14338,ELMO SOUP HOLDINGS LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=CAMPBELL%20AVENUE,425,CAMPBELL AVE,1,20,Strathcona,49.2804689,-123.08507538,Residential,2787000.0,1910
14359,Guerino Rasman & Julianna Rasman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=974&street=CARDERO%20STREET,974,CARDERO ST,3,6,West End,49.28725467,-123.13509577,Residential,1758000.0,1910
14475,Derik Ventures Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=843&street=CARDERO%20STREET,843,CARDERO ST,3,39,West End,49.28904188,-123.13328409,Residential,6570000.0,1910
14602,Allan Wong & Mui Chai Wong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=925&street=CARDERO%20STREET,925,CARDERO ST,3,26,West End,49.28795517,-123.13490093,Residential,6570000.0,1927
14845,Guerino Rasman & Julianna Rasman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=968&street=CARDERO%20STREET,968,CARDERO ST,3,7,West End,49.28731865,-123.13500038,Residential,1665000.0,1910
14979,1001438 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET,204,CARRALL ST,1,41,Downtown,49.28298921,-123.10393424,Historical Area,334000.0,1983
15000,1001438 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET,204,CARRALL ST,1,41,Downtown,49.28298921,-123.10393424,Historical Area,,
15008,1001438 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET,204,CARRALL ST,1,41,Downtown,49.28298921,-123.10393424,Historical Area,,1983
15018,1001438 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET,204,CARRALL ST,1,41,Downtown,49.28298921,-123.10393424,Historical Area,5924000.0,1909
15025,1001438 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET,204,CARRALL ST,1,41,Downtown,49.28298921,-123.10393424,Historical Area,,
15084,PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=309&street=CARRALL%20STREET,309,CARRALL ST,1,41,Downtown,49.28223732,-123.10460555,Historical Area,3183001.0,1909
15156,Millenium Carrall Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=333&street=CARRALL%20STREET,333,CARRALL ST,1,37,Downtown,49.28190311,-123.1046469,Historical Area,5278000.0,2021
15253,PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=412&street=CARRALL%20STREET,412,CARRALL ST,2,44,Downtown,49.28111243,-123.10415426,Historical Area,981001.0,1906
15502,Jordan Development Corporation Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8655&street=CARTIER%20STREET,8655,CARTIER ST,1,32,Marpole,49.20814624,-123.13812072,Residential,7399000.0,1966
15806,Cartier Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8725&street=CARTIER%20STREET,8725,CARTIER ST,3,7,Marpole,49.20646,-123.13816824,Residential,2268000.0,1969
16105,Gerda H Fandrich & Helmut E Fandrich,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8632&street=CARTIER%20STREET,8632,CARTIER ST,4,10,Marpole,49.20812973,-123.13726576,Residential,2268000.0,1957
16314,ACJ1016 Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8680&street=CARTIER%20STREET,8680,CARTIER ST,3,10,Marpole,49.20758056,-123.13727698,Residential,2268000.0,1959
16989,473881 BC LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1472&street=CHARLES%20STREET,1472,CHARLES ST,3,16,Grandview-Woodland,49.27281667,-123.07428732,Residential,2702000.0,1913
17025,Hyung Moon Kim (Hyung Kim),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1708&street=CHARLES%20STREET,1708,CHARLES ST,3,14,Grandview-Woodland,49.27289892,-123.06917565,Commercial,4652000.0,1912
17620,EMV Holdings Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=CHILCO%20STREET,930,CHILCO ST,1,29,West End,49.29202753,-123.1400431,Residential,9582000.0,1940
17804,Armando Ferreira,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2308&street=CLARK%20DRIVE,2308,CLARK DR,3,5,Grandview-Woodland,49.26404447,-123.07708649,Residential,2052000.0,1959
18408,673854 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2615&street=COLUMBIA%20STREET,2615,COLUMBIA ST,2,13,Mount Pleasant,49.26197789,-123.10984221,Residential,3697000.0,1954
19086,FCCZ Investment Ltd.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1316&street=COMMERCIAL%20DRIVE,1316,COMMERCIAL DR,3,5,Grandview-Woodland,49.27269518,-123.06917948,Commercial,5828000.0,1924
19666,Hudsonmorris (3427 Commercial) Projects Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3427&street=COMMERCIAL%20STREET,3427,COMMERCIAL ST,6,8,Kensington-Cedar Cottage,49.25387472,-123.06839379,Industrial,3821000.0,1976
20844,Andrew Priatel & John Priatel,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=COMOX%20STREET,1075,COMOX ST,1,87,West End,49.28146361,-123.12801526,Residential,63548000.0,1970
21357,Daysgoneby.org Land Stewards Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1717&street=COMOX%20STREET,1717,COMOX ST,1,23,West End,49.2880357,-123.13796381,Residential,6570000.0,1956
21506,Commonwealth Holding Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1772&street=COMOX%20STREET,1772,COMOX ST,1,61,West End,49.28812928,-123.1394508,Residential,10842000.0,1963
22074,Five Mile Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2033&street=COMOX%20STREET,2033,COMOX ST,1,91,West End,49.29099206,-123.1427403,Residential,22587000.0,1960
22350,C K L Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2060&street=COMOX%20STREET,2060,COMOX ST,3,41,West End,49.29100185,-123.14392563,Residential,4928000.0,1965
23104,Itziar Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=DAVIE%20STREET,1516,DAVIE ST,3,83,West End,49.28450349,-123.13817768,Residential,20058000.0,1965
23474,Lawrence Wong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=809&street=DENMAN%20STREET,809,DENMAN ST,1,8,West End,49.29147113,-123.13589931,Commercial,2935000.0,1941
23866,Helping Spirit Lodge Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3989&street=DUMFRIES%20STREET,3989,DUMFRIES ST,2,36,Kensington-Cedar Cottage,49.24966055,-123.07371806,Commercial,1.0,1981
24236,J 110 Freecorp Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5626&street=DUNBAR%20STREET,5626,DUNBAR ST,1,8,Dunbar-Southlands,49.23527137,-123.18499035,Commercial,3241000.0,1986
24770,1313 Ventures Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2121&street=DUNDAS%20STREET,2121,DUNDAS ST,3,35,Grandview-Woodland,49.2850593,-123.06098535,Residential,5666000.0,1972
25242,Vancouver Pacific Enterprises Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2265&street=ETON%20STREET,2265,ETON ST,1,32,Grandview-Woodland,49.28776474,-123.05816905,Residential,5744000.0,1968
25393,Jasmine Investments (1994) Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2212&street=ETON%20STREET,2212,ETON ST,2,10,Grandview-Woodland,49.28725418,-123.0592061,Residential,1811000.0,1960
25689,Natasha Taylor,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3223&street=FINDLAY%20STREET,3223,FINDLAY ST,3,12,Kensington-Cedar Cottage,49.2559113,-123.06825456,Residential Inclusive,2461000.0,1913
25735,Louise Court Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1777&street=FRANCES%20STREET,1777,FRANCES ST,1,59,Grandview-Woodland,49.27961543,-123.06874996,Residential,9729000.0,1978
26464,PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1131&street=FRANKLIN%20STREET,1131,FRANKLIN ST,1,39,Strathcona,49.28257659,-123.0805724,Industrial,1.0,
26802,BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1719&street=FRANKLIN%20STREET,1719,FRANKLIN ST,10,32,Grandview-Woodland,49.28242758,-123.06979076,Industrial,274000.0,1911
27004,BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1719&street=FRANKLIN%20STREET,1719,FRANKLIN ST,10,32,Grandview-Woodland,49.28242758,-123.06979076,Industrial,106000.0,1911
27039,BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1719&street=FRANKLIN%20STREET,1719,FRANKLIN ST,10,32,Grandview-Woodland,49.28242758,-123.06979076,Industrial,2947000.0,1911
27460,Verner Kober,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2532&street=FRASER%20STREET,2532,FRASER ST,7,9,Mount Pleasant,49.26187844,-123.08886308,Residential,1118000.0,1910
29162,6462 Fraser Developments Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=6462&street=FRASER%20STREET,6462,FRASER ST,4,16,Sunset,49.22585984,-123.09037135,Commercial,7511000.0,1964
30217,Connective Support Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3350&street=FRASER%20STREET,3350,FRASER ST,3,8,Kensington-Cedar Cottage,49.25506059,-123.08947179,Commercial,3626000.0,1943
31648,Christopher Investments Ltd & The Corporate Advisory Group Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1025&street=GILFORD%20STREET,1025,GILFORD ST,2,49,West End,49.29011083,-123.14138456,Residential,18070000.0,1962
31767,EMK Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1010&street=GILFORD%20STREET,1010,GILFORD ST,1,41,West End,49.29005189,-123.14029871,Residential,6570000.0,1966
31883,Glen Drive Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2325&street=GLEN%20DRIVE,2325,GLEN DR,1,10,Mount Pleasant,49.26400214,-123.08169527,Residential,3269000.0,1965
34346,Choo Bros Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=GRANVILLE%20STREET,2930,GRANVILLE ST,1,6,Fairview,49.25931681,-123.13831253,Commercial,3882000.0,1912
35988,101181499 SASKATCHEWAN LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8732&street=GRANVILLE%20STREET,8732,GRANVILLE ST,2,10,Marpole,49.20662435,-123.14020494,Residential,1359000.0,1996
36462,0966691 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8747&street=GRANVILLE%20STREET,8747,GRANVILLE ST,2,13,Marpole,49.20648121,-123.14101081,Residential,2776000.0,1956
38258,Edward Hershberg & Sheldon Hershberg,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2421&street=GRANVILLE%20STREET,2421,GRANVILLE ST,1,13,Fairview,49.26410379,-123.13896624,Commercial,5632000.0,1913
38528,BC1350175,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8733&street=GRANVILLE%20STREET,8733,GRANVILLE ST,2,8,Marpole,49.20666337,-123.1410079,Residential,1735000.0,1955
38951,William Nemetz Investments Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=GRANVILLE%20STREET,8770,GRANVILLE ST,1,47,Marpole,49.20648489,-123.1402206,Residential,7839000.0,1962
39810,Arkhu Investment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARO%20STREET,1122,HARO ST,4,84,West End,49.28399595,-123.12661468,Residential,16701000.0,1964
40350,Plan A - 1431 Haro Street Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1431&street=HARO%20STREET,1431,HARO ST,4,6,West End,49.28772913,-123.13125854,Residential,2464000.0,1903
40948,IMH 1629 Haro Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=HARO%20STREET,1629,HARO ST,1,40,West End,49.28930049,-123.13367947,Residential,4928000.0,1969
41379,Laurentian Towers Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1636&street=HARO%20STREET,1636,HARO ST,1,41,West End,49.28891573,-123.13424156,Residential,4928000.0,1966
41987,Mason Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=HARO%20STREET,1955,HARO ST,1,70,West End,49.29260655,-123.13878984,Residential,18070000.0,1964
42667,Haro Towers Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1131&street=HARO%20STREET,1131,HARO ST,1,12,West End,49.28467427,-123.12654299,Residential,2723000.0,1905
43068,Westsea Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1330&street=HARWOOD%20STREET,1330,HARWOOD ST,1,78,West End,49.28164678,-123.13807183,Residential,30018000.0,1969
43269,James F Wong & Mary S Wong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=HARWOOD%20STREET,1225,HARWOOD ST,2,6,West End,49.28093277,-123.13582751,Residential,4928000.0,1905
43877,Harwood Place Apartments Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARWOOD%20STREET,1122,HARWOOD ST,2,39,West End,49.27920733,-123.13429324,Residential,15672000.0,1979
43950,Otrun Kneifel & Walter Kneifel,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2820&street=HEATHER%20STREET,2820,HEATHER ST,1,20,Fairview,49.26017973,-123.11974713,Residential,5800000.0,1964
44470,Netty Prosterman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8575&street=HEATHER%20STREET,8575,HEATHER ST,4,21,Marpole,49.20861461,-123.1248658,Residential,4650000.0,1963
44899,Fairbridge Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8666&street=HEATHER%20STREET,8666,HEATHER ST,5,23,Marpole,49.20771083,-123.12385254,Residential,3887000.0,1966
45294,Mona Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2555&street=HEMLOCK%20STREET,2555,HEMLOCK ST,3,24,Fairview,49.26284872,-123.13647939,Residential,5800000.0,1978
45409,Beng Kim Yeung (Beng Yeung),http://app.vancouver.ca/RPS_Net/Default.aspx?num=8619&street=HUDSON%20STREET,8619,HUDSON ST,2,10,Marpole,49.20829758,-123.1350487,Residential,3639000.0,1950
46021,Gene Lee & Shirley Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8667&street=HUDSON%20STREET,8667,HUDSON ST,1,37,Marpole,49.20754542,-123.13510139,Residential,7214000.0,1969
46385,Amon Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=JERVIS%20STREET,1100,JERVIS ST,1,109,West End,49.28330415,-123.13301695,Residential,22587000.0,1964
47147,0811930 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=JERVIS%20STREET,1209,JERVIS ST,3,45,West End,49.28272208,-123.13542495,Residential,26327000.0,1910
47335,Pacific Investment Corporation Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1210&street=JERVIS%20STREET,1210,JERVIS ST,1,84,West End,49.28234003,-123.13484092,Commercial,12382000.0,1910
49351,Superior Holdings Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2535&street=KINGSWAY,2535,KINGSWAY,2,10,Renfrew-Collingwood,49.23999952,-123.0532568,Commercial,5010000.0,2005
